greek,black_scholes_value,monte_carlo_estimate,absolute_error,relative_error_pct
delta,0.6368306511756191,0.6361022910982417,0.0007283600773774213,0.11437264774125343
gamma,0.018762017345846895,0.018778352723128222,1.6335377281326974e-05,0.08706620924717845
vega,37.52403469169379,37.56214066320362,0.03810597150982886,0.10155083754430033
theta,-6.414027546438197,-6.414277172050564,0.0002496256123674101,0.0038918699765489915
rho,53.232481545376345,53.159903313357404,0.07257823201894098,0.1363420038141073
