greek,plain_mc_estimate,control_variate_estimate,absolute_difference,n_paths,n_steps
delta,0.5884725852053223,0.5891316346710331,0.0006590494657108259,100000,252
gamma,0.03277789973300482,0.03226539749439006,0.0005125022386147648,100000,252
vega,21.841888157373866,21.76673257704409,0.07515558032977765,100000,252
theta,-3.411185593587218,-3.405370276738884,0.005815316848334362,100000,252
rho,24.53906447354992,24.5729031965789,0.03383872302897828,100000,252
